"","PlayerID","ID","GameID","PlateAppID","HomeAway","RunnerName","Hole","Action","StartBase","EndBase","BasesAdded","SB","SBA","OutsAdded","Fielder1","Fielder2","RunsAdded","PO","POA","WP","PB","AOE"
"6687","Ca_Opitz0_ARKS_12",726,"ARKS_KENT_0503201901","ARKS_KENT_0503201901_PA01AWAY09","away","Opitz",8,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"6688","Ja_Nesbit_ARKS_05",727,"ARKS_KENT_0503201901","ARKS_KENT_0503201901_PA01AWAY09","away","Nesbit",7,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"6734","Au_Schult_KENT_02",233016830,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA08HOME03","home","Schultz",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"6735","El_Curtis_KENT_42",233016831,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA08HOME03","home","Curtis",3,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"661","Br_Blaum0_TXAM_15",772,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA08HOME02","home","Blaum",2,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"662","Br_Shewma_TXAM_08",773,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA08HOME02","home","Shewmake",1,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"697","He_Kjerst_ARKS_18",808,"ARKS_TXAM_0517201901","ARKS_TXAM_0517201901_PA15AWAY02","away","Kjerstad",5,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"698","Do_Fletch_ARKS_24",809,"ARKS_TXAM_0517201901","ARKS_TXAM_0517201901_PA15AWAY02","away","Fletcher",4,"out",1,0,-1,0,0,1,"out at third rf","3b",0,0,0,0,0,0
"705","Co_Martin_TXAM_12",816,"ARKS_TXAM_0518201901","ARKS_TXAM_0518201901_PA09AWAY02","away","Martin",2,"stole",1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
"706","Au_Martin_VAND_16",816,"ARKS_TXAM_0518201901","ARKS_TXAM_0518201901_PA09AWAY02","away","Martin",2,"stole",1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
"707","Hu_Martin_TENN_12",816,"ARKS_TXAM_0518201901","ARKS_TXAM_0518201901_PA09AWAY02","away","Martin",2,"stole",1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
"708","Ca_Martin_ARKS_15",816,"ARKS_TXAM_0518201901","ARKS_TXAM_0518201901_PA09AWAY02","away","Martin",2,"stole",1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
"786","Da_Cabrer_LSTU_02",941,"AUBN_LSTU_0518201901","AUBN_LSTU_0518201901_PA14HOME02","home","Cabrera",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"787","An_Duplan_LSTU_08",942,"AUBN_LSTU_0518201901","AUBN_LSTU_0518201901_PA14HOME02","home","Duplantis",3,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"1046","Ro_Jordan_MSST_04",988,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME08","home","Jordan",8,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"1047","Du_Skelto_MSST_08",989,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME08","home","Skelton",6,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,1
"1130","Ro_Jordan_MSST_04",1072,"AUBN_MSST_0324201901","AUBN_MSST_0324201901_PA10HOME03","home","Jordan",8,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"1131","Du_Skelto_MSST_08",1073,"AUBN_MSST_0324201901","AUBN_MSST_0324201901_PA10HOME03","home","Skelton",6,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"1190","Ia_Jenkin_SCAR_24",1137,"AUBN_SCAR_0330201901","AUBN_SCAR_0330201901_PA12HOME06","home","Jenkins",7,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"1191","Br_Allen0_SCAR_03",1138,"AUBN_SCAR_0330201901","AUBN_SCAR_0330201901_PA12HOME06","home","Allen",6,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,1
"1320","Ju_Ward00_AUBN_01",1174,"AUBN_TXAM_0412201901","AUBN_TXAM_0412201901_PA07AWAY03","away","Ward",6,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"1321","Ra_Woley0_AUBN_04",1175,"AUBN_TXAM_0412201901","AUBN_TXAM_0412201901_PA07AWAY03","away","Woley",5,"out",1,0,-1,0,0,1,"3b","2b",0,0,0,0,0,0
"1373","Ca_Blake0_TXAM_30",1211,"AUBN_TXAM_0413201901","AUBN_TXAM_0413201901_PA14HOME06","home","Blake",8,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"1374","Wi_Frizze_TXAM_50",1212,"AUBN_TXAM_0413201901","AUBN_TXAM_0413201901_PA14HOME06","home","Frizzell",7,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"1679","Co_Davis0_AUBN_24",1279,"AUBN_VAND_0425201901","AUBN_VAND_0425201901_PA09AWAY08","away","Davis",4,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"1680","Co_Davis0_VAND_03",1279,"AUBN_VAND_0425201901","AUBN_VAND_0425201901_PA09AWAY08","away","Davis",4,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"2182","An_Duplan_LSTU_08",1544,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA02HOME03","home","Duplantis",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"2183","Br_Brouss_LSTU_16",1545,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA02HOME03","home","Broussard",2,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"849","Ry_Olenek_OMSS_02",1711,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA10HOME07","home","Olenek",1,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"850","An_Servid_OMSS_03",1712,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA10HOME07","home","Servideo",9,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"1609","Ju_Malloy_VAND_42",1887,"FLOR_VAND_0322201901","FLOR_VAND_0322201901_PA16HOME06","home","Malloy",8,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"1610","Et_Paul00_VAND_10",1888,"FLOR_VAND_0322201901","FLOR_VAND_0322201901_PA16HOME06","home","Paul",7,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"1764","Ch_Rogers_GEOR_20",1998,"GEOR_AUBN_0511201902","GEOR_AUBN_0511201902_PA11AWAY05","away","Rogers",7,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"1765","Pa_Sulliv_GEOR_14",1999,"GEOR_AUBN_0511201902","GEOR_AUBN_0511201902_PA11AWAY05","away","Sullivan",6,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"1258","LJ_Talley_GEOR_02",2039,"GEOR_KENT_0328201901","GEOR_KENT_0328201901_PA13AWAY03","away","Talley",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"1259","Aa_Schunk_GEOR_22",2040,"GEOR_KENT_0328201901","GEOR_KENT_0328201901_PA13AWAY03","away","Schunk",3,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"2101","LJ_Talley_GEOR_02",2101,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA09AWAY05","away","Talley",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"2102","Aa_Schunk_GEOR_22",2102,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA09AWAY05","away","Schunk",3,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"1483","Ma_Gilber_MSST_34",2136,"GEOR_MSST_0426201901","GEOR_MSST_0426201901_PA04HOME08","home","Gilbert",8,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"1871","Gu_Halter_MSST_02",2135,"GEOR_MSST_0426201901","GEOR_MSST_0426201901_PA04HOME08","home","Halter",9,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"1499","Ma_Gilber_MSST_34",2163,"GEOR_MSST_0426201901","GEOR_MSST_0426201901_PA12HOME10","home","Gilbert",8,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"1885","Ja_Mangum_MSST_15",2162,"GEOR_MSST_0426201901","GEOR_MSST_0426201901_PA12HOME10","home","Mangum",1,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"1298","Qu_Perez0_SCAR_26",2303,"GEOR_SCAR_0317201901","GEOR_SCAR_0317201901_PA10HOME05","home","Perez",1,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"1299","Ia_Jenkin_SCAR_24",2304,"GEOR_SCAR_0317201901","GEOR_SCAR_0317201901_PA10HOME05","home","Jenkins",8,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"1862","Ke_Calila_FLOR_06",233012643,"KENT_FLOR_0426201901","KENT_FLOR_0426201901_PA02HOME04","home","Calilao",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"1863","Ne_Maldon_FLOR_27",233012644,"KENT_FLOR_0426201901","KENT_FLOR_0426201901_PA02HOME04","home","Maldonado",3,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"2317","Br_Mcconn_FLOR_13",233012745,"KENT_FLOR_0428201901","KENT_FLOR_0428201901_PA10HOME05","home","Mcconnell",1,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"2318","Ju_Fabian_FLOR_04",233012746,"KENT_FLOR_0428201901","KENT_FLOR_0428201901_PA10HOME05","home","Fabian",9,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"2463","Ch_Reid00_LSTU_17",233012804,"KENT_LSTU_0316201901","KENT_LSTU_0316201901_PA24HOME03","home","Reid",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"2464","Za_Watson_LSTU_09",233012805,"KENT_LSTU_0316201901","KENT_LSTU_0316201901_PA24HOME03","home","Watson",2,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"2767","El_Curtis_KENT_42",233013077,"KENT_SCAR_0511201901","KENT_SCAR_0511201901_PA09AWAY05","away","Curtis",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"2768","Ry_Johnso_KENT_28",233013078,"KENT_SCAR_0511201901","KENT_SCAR_0511201901_PA09AWAY05","away","Johnson",1,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"3332","Da_Cabrer_LSTU_02",233013177,"LSTU_ABAM_0427201901","LSTU_ABAM_0427201901_PA13AWAY04","away","Cabrera",7,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"3333","Ch_Reid00_LSTU_17",233013178,"LSTU_ABAM_0427201901","LSTU_ABAM_0427201901_PA13AWAY04","away","Reid",6,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"3383","An_Duplan_LSTU_08",233013287,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA01AWAY03","away","Duplantis",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"3384","Za_Watson_LSTU_09",233013288,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA01AWAY03","away","Watson",2,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"3425","Cl_Peters_MIZZ_10",233013380,"LSTU_MIZZ_0414201901","LSTU_MIZZ_0414201901_PA08HOME04","home","Peterson",1,"out",1,0,-1,0,0,1,"1b","2b",0,0,0,0,0,0
"3426","Cl_Peters_MIZZ_10",233013381,"LSTU_MIZZ_0414201901","LSTU_MIZZ_0414201901_PA08HOME04","home","Peterson",1,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"3436","Jo_Smith0_LSTU_04",233013391,"LSTU_MIZZ_0414201901","LSTU_MIZZ_0414201901_PA11AWAY02","away","Smith",1,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"3437","Br_Mathis_LSTU_22",233013392,"LSTU_MIZZ_0414201901","LSTU_MIZZ_0414201901_PA11AWAY02","away","Mathis",9,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"3552","Ro_Jordan_MSST_04",233013420,"LSTU_MSST_0328201901","LSTU_MSST_0328201901_PA10HOME05","home","Jordan",7,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"3553","Du_Skelto_MSST_08",233013421,"LSTU_MSST_0328201901","LSTU_MSST_0328201901_PA10HOME05","home","Skelton",6,"out",1,0,-1,0,0,1,"cf","3b",0,0,0,0,0,0
"6893","Ja_Nesbit_ARKS_05",233017123,"MIZZ_ARKS_0316201901","MIZZ_ARKS_0316201901_PA08HOME05","home","Nesbit",8,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"6894","Ma_Goodhe_ARKS_10",233017124,"MIZZ_ARKS_0316201901","MIZZ_ARKS_0316201901_PA08HOME05","home","Goodheart",6,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"2948","Ch_Rogers_GEOR_20",233013551,"MIZZ_GEOR_0420201901","MIZZ_GEOR_0420201901_PA16HOME03","home","Rogers",9,"out",1,0,-1,0,0,1,"cf","ss",0,0,0,0,0,0
"2949","Za_Rogers_ABAM_27",233013551,"MIZZ_GEOR_0420201901","MIZZ_GEOR_0420201901_PA16HOME03","home","Rogers",9,"out",1,0,-1,0,0,1,"cf","ss",0,0,0,0,0,0
"2950","We_Rogers_ARKS_37",233013551,"MIZZ_GEOR_0420201901","MIZZ_GEOR_0420201901_PA16HOME03","home","Rogers",9,"out",1,0,-1,0,0,1,"cf","ss",0,0,0,0,0,0
"3111","Lo_Foster_TXAM_05",233013712,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA12HOME05","home","Foster",6,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"3112","Ty_Colema_TXAM_01",233013713,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA12HOME05","home","Coleman",7,"out",1,0,-1,0,0,1,"out at third rf","3b",0,0,0,0,0,0
"3220","Ka_Misner_MIZZ_30",233013821,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA11AWAY03","away","Misner",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"3221","Ch_Cornel_MIZZ_07",233013822,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA11AWAY03","away","Cornelius",2,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"3298","Ja_Nesbit_ARKS_05",233013935,"MSST_ARKS_0419201901","MSST_ARKS_0419201901_PA14HOME09","home","Nesbit",7,"scored",1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
"3704","Ca_Opitz0_ARKS_12",233013934,"MSST_ARKS_0419201901","MSST_ARKS_0419201901_PA14HOME09","home","Opitz",8,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
