Sequence,GameID,PlateAppID,NumComponents,startOuts,startOnFirst,startOnSecond,startOnThird,startBS,startBOS,endOuts,endOnFirst,endOnSecond,endOnThird,endBS,endBOS,RPrime,R
1,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA01AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
2,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA01AWAY02,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
3,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA01AWAY03,1,2,NA,NA,NA,A,A2,2,NA,Collett,NA,C,C2,0,0
4,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA01AWAY04,1,2,NA,Collett,NA,C,C2,2,NA,NA,Collett,D,D2,0,0
5,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA01AWAY05,1,2,NA,NA,Collett,D,D2,3,NA,NA,Collett,D,D3,0,0
6,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA02HOME01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,2
7,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA02HOME02,1,1,NA,NA,NA,A,A1,1,Watson,NA,NA,B,B1,0,2
8,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA02HOME03,1,1,Watson,NA,NA,B,B1,1,NA,Watson,NA,C,C1,0,2
9,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA02HOME04,1,1,NA,Watson,NA,C,C1,1,Duplantis,Watson,NA,E,E1,0,2
10,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA02HOME05,3,1,Duplantis,Watson,NA,E,E1,1,NA,Reid,NA,C,C1,2,2
11,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA02HOME06,2,1,NA,Reid,NA,C,C1,2,NA,NA,Reid,D,D2,0,0
12,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA02HOME07,1,2,NA,NA,Reid,D,D2,3,NA,NA,Reid,D,D3,0,0
13,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA03AWAY01,1,0,NA,NA,NA,A,A0,0,Reed,NA,NA,B,B0,0,1
14,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA03AWAY02,2,0,Reed,NA,NA,B,B0,0,Kessler,Reed,NA,E,E0,0,1
15,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA03AWAY03,3,0,Kessler,Reed,NA,E,E0,1,NA,Kessler,Reed,G,G1,0,1
16,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA03AWAY04,2,1,NA,Kessler,Reed,G,G1,1,Hill,Kessler,NA,E,E1,1,1
17,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA03AWAY05,1,1,Hill,Kessler,NA,E,E1,2,Hill,Kessler,NA,E,E2,0,0
18,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA03AWAY06,1,2,Hill,Kessler,NA,E,E2,3,Hill,Kessler,NA,E,E3,0,0
19,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME01,1,0,NA,NA,NA,A,A0,0,Digiacomo,NA,NA,B,B0,0,6
20,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME02,1,0,Digiacomo,NA,NA,B,B0,0,NA,Digiacomo,NA,C,C0,0,6
21,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME03,1,0,NA,Digiacomo,NA,C,C0,0,Mathis,Digiacomo,NA,E,E0,0,6
22,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME04,3,0,Mathis,Digiacomo,NA,E,E0,1,NA,Mathis,Digiacomo,G,G1,0,6
23,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME05,1,1,NA,Mathis,Digiacomo,G,G1,1,Smith,Mathis,Digiacomo,H,H1,0,6
24,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME06,4,1,Smith,Mathis,Digiacomo,H,H1,1,Watson,Smith,Mathis,H,H1,1,6
25,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME07,4,1,Watson,Smith,Mathis,H,H1,2,Duplantis,NA,Smith,F,F2,1,5
26,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME08,2,2,Duplantis,NA,Smith,F,F2,2,Reid,Duplantis,Smith,H,H2,0,4
27,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME09,4,2,Reid,Duplantis,Smith,H,H2,2,Cabrera,Reid,NA,E,E2,2,4
28,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME10,3,2,Cabrera,Reid,NA,E,E2,2,Beloso,NA,Cabrera,F,F2,1,2
29,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME11,3,2,Beloso,NA,Cabrera,F,F2,2,Digiacomo,Beloso,NA,E,E2,1,1
30,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA04HOME12,1,2,Digiacomo,Beloso,NA,E,E2,3,Digiacomo,Beloso,NA,E,E3,0,0
31,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA05AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
32,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA05AWAY02,1,1,NA,NA,NA,A,A1,1,NA,Collett,NA,C,C1,0,0
33,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA05AWAY03,1,1,NA,Collett,NA,C,C1,2,NA,Collett,NA,C,C2,0,0
34,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA05AWAY04,1,2,NA,Collett,NA,C,C2,3,NA,Collett,NA,C,C3,0,0
35,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA06HOME01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,1
36,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA06HOME02,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,1
37,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA06HOME03,1,2,NA,NA,NA,A,A2,2,Watson,NA,NA,B,B2,0,1
38,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA06HOME04,2,2,Watson,NA,NA,B,B2,2,Duplantis,Watson,NA,E,E2,0,1
39,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA06HOME05,3,2,Duplantis,Watson,NA,E,E2,2,Reid,Duplantis,Watson,H,H2,0,1
40,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA06HOME06,3,2,Reid,Duplantis,Watson,H,H2,2,NA,Reid,Duplantis,G,G2,1,1
41,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA06HOME07,1,2,NA,Reid,Duplantis,G,G2,3,NA,Reid,Duplantis,G,G3,0,0
42,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,2
43,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY02,1,1,NA,NA,NA,A,A1,1,NA,Schultz,NA,C,C1,0,2
44,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY03,1,1,NA,Schultz,NA,C,C1,1,NA,NA,Schultz,D,D1,0,2
45,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY04,1,1,NA,NA,Schultz,D,D1,1,Hill,NA,Schultz,F,F1,0,2
46,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY06,3,1,Hill,NA,Schultz,F,F1,1,Curtis,Hill,NA,E,E1,1,2
47,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY07,3,1,Curtis,Hill,NA,E,E1,1,Daniel,Curtis,Hill,H,H1,0,1
48,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY08,1,1,Daniel,Curtis,Hill,H,H1,2,Daniel,Curtis,Hill,H,H2,0,1
49,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY09,3,2,Daniel,Curtis,Hill,H,H2,2,NA,Daniel,Curtis,G,G2,1,1
50,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA07AWAY10,1,2,NA,Daniel,Curtis,G,G2,3,NA,Daniel,Curtis,G,G3,0,0
51,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME02,1,0,NA,NA,NA,A,A0,0,Beloso,NA,NA,B,B0,0,5
52,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME03,2,0,Beloso,NA,NA,B,B0,0,Digiacomo,Beloso,NA,E,E0,0,5
53,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME04,3,0,Digiacomo,Beloso,NA,E,E0,1,NA,Digiacomo,Beloso,G,G1,0,5
54,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME06,1,1,NA,Digiacomo,Beloso,G,G1,1,Hughes,Digiacomo,Beloso,H,H1,0,5
55,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME07,4,1,Hughes,Digiacomo,Beloso,H,H1,1,Smith,Hughes,Digiacomo,H,H1,1,5
56,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME08,3,1,Smith,Hughes,Digiacomo,H,H1,1,NA,Smith,Hughes,G,G1,1,4
57,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME09,3,1,NA,Smith,Hughes,G,G1,1,NA,NA,NA,A,A1,3,3
58,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME10,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
59,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA08HOME11,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
60,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA09AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
61,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA09AWAY02,2,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
62,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA09AWAY03,1,2,NA,NA,NA,A,A2,2,Kessler,NA,NA,B,B2,0,0
63,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA09AWAY04,2,2,Kessler,NA,NA,B,B2,2,NA,Schultz,Kessler,G,G2,0,0
64,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA09AWAY05,1,2,NA,Schultz,Kessler,G,G2,3,NA,Schultz,Kessler,G,G3,0,0
65,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA10HOME03,1,0,NA,NA,NA,A,A0,0,Cabrera,NA,NA,B,B0,0,0
66,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA10HOME04,1,0,Cabrera,NA,NA,B,B0,1,Cabrera,NA,NA,B,B1,0,0
67,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA10HOME05,1,1,Cabrera,NA,NA,B,B1,2,Cabrera,NA,NA,B,B2,0,0
68,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA10HOME06,2,2,Cabrera,NA,NA,B,B2,2,Mathis,NA,Cabrera,F,F2,0,0
69,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA10HOME07,1,2,Mathis,NA,Cabrera,F,F2,3,Mathis,NA,Cabrera,F,F3,0,0
70,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA11AWAY03,1,0,NA,NA,NA,A,A0,0,Curtis,NA,NA,B,B0,0,0
71,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA11AWAY04,1,0,Curtis,NA,NA,B,B0,1,Curtis,NA,NA,B,B1,0,0
72,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA11AWAY05,1,1,Curtis,NA,NA,B,B1,2,Curtis,NA,NA,B,B2,0,0
73,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA11AWAY06,1,2,Curtis,NA,NA,B,B2,3,Curtis,NA,NA,B,B3,0,0
74,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME01,1,0,NA,NA,NA,A,A0,0,Smith,NA,NA,B,B0,0,2
75,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME02,2,0,Smith,NA,NA,B,B0,0,NA,Watson,NA,C,C0,1,2
76,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME03,1,0,NA,Watson,NA,C,C0,0,NA,NA,Watson,D,D0,0,1
77,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME04,1,0,NA,NA,Watson,D,D0,1,NA,NA,Watson,D,D1,0,1
78,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME06,2,1,NA,NA,Watson,D,D1,2,NA,NA,NA,A,A2,1,1
79,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME07,1,2,NA,NA,NA,A,A2,2,Cabrera,NA,NA,B,B2,0,0
80,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME08,1,2,Cabrera,NA,NA,B,B2,3,Cabrera,NA,NA,B,B3,0,0
81,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA13AWAY03,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
82,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA13AWAY04,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
83,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA13AWAY05,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
84,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA14HOME03,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
85,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA14HOME04,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
86,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA14HOME05,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
87,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA15AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
88,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA15AWAY02,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
89,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA15AWAY03,1,2,NA,NA,NA,A,A2,2,Curtis,NA,NA,B,B2,0,0
90,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA15AWAY04,2,2,Curtis,NA,NA,B,B2,2,Daniel,Curtis,NA,E,E2,0,0
91,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA15AWAY05,1,2,Daniel,Curtis,NA,E,E2,3,Daniel,Curtis,NA,E,E3,0,0
92,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA16HOME01,1,0,NA,NA,NA,A,A0,0,Smith,NA,NA,B,B0,0,0
93,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA16HOME02,2,0,Smith,NA,NA,B,B0,0,Watson,Smith,NA,E,E0,0,0
94,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA16HOME03,3,0,Watson,Smith,NA,E,E0,1,Duplantis,NA,Smith,F,F1,0,0
95,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA16HOME04,1,1,Duplantis,NA,Smith,F,F1,2,Duplantis,NA,Smith,F,F2,0,0
96,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA16HOME06,1,2,Duplantis,NA,Smith,F,F2,3,Duplantis,NA,Smith,F,F3,0,0
97,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY02,2,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,1
98,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY03,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,1
99,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY04,1,2,NA,NA,NA,A,A2,2,Reed,NA,NA,B,B2,0,1
100,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY05,2,2,Reed,NA,NA,B,B2,2,Adams,Reed,NA,E,E2,0,1
101,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY06,3,2,Adams,Reed,NA,E,E2,2,Schultz,NA,Adams,F,F2,1,1
102,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY07,1,2,Schultz,NA,Adams,F,F2,3,Schultz,NA,Adams,F,F3,0,0
